ts,equity,drawdown,regime,gross
2025-09-16T07:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T08:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T09:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T10:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T11:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T12:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T13:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T14:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T15:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T16:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T17:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T18:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T19:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T20:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T21:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T22:00:00+00:00,1.0,0.0,chop,0.0
2025-09-16T23:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T00:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T01:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T02:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T03:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T04:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T05:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T06:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T07:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T08:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T09:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T10:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T11:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T12:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T13:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T14:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T15:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T16:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T17:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T18:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T19:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T20:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T21:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T22:00:00+00:00,1.0,0.0,chop,0.0
2025-09-17T23:00:00+00:00,1.0,0.0,chop,0.0
2025-09-18T00:00:00+00:00,1.0,0.0,chop,0.0
2025-09-18T01:00:00+00:00,1.0,0.0,chop,0.0
2025-09-18T02:00:00+00:00,1.0,0.0,chop,0.0
2025-09-18T03:00:00+00:00,1.0,0.0,chop,0.0
2025-09-18T04:00:00+00:00,1.0,0.0,chop,0.0
2025-09-18T05:00:00+00:00,1.0,0.0,chop,0.0
2025-09-18T06:00:00+00:00,0.9981805913,0.0018194087,trend_up,0.4
2025-09-18T07:00:00+00:00,0.9992908044,0.0007091956,trend_up,0.4
2025-09-18T08:00:00+00:00,1.0015415764,0.0,trend_up,0.4
2025-09-18T09:00:00+00:00,1.0017830841,0.0,trend_up,0.4
2025-09-18T10:00:00+00:00,0.9999892778,0.0017906135,trend_up,0.4
2025-09-18T11:00:00+00:00,0.9997665407,0.0020129541,trend_up,0.4
2025-09-18T12:00:00+00:00,1.0005724262,0.001208503,trend_up,0.4
2025-09-18T13:00:00+00:00,1.000983969,0.0007976927,trend_up,0.4
2025-09-18T14:00:00+00:00,1.0019576208,0.0,trend_up,0.4
2025-09-18T15:00:00+00:00,1.0034154271,0.0,trend_up,0.4
2025-09-18T16:00:00+00:00,1.0038297112,0.0,trend_up,0.4
2025-09-18T17:00:00+00:00,1.0036553399,0.000173706,trend_up,0.4
2025-09-18T18:00:00+00:00,1.0036189985,0.0002099088,trend_up,0.4
2025-09-18T19:00:00+00:00,1.0014238475,0.0023966851,trend_up,0.4
2025-09-18T20:00:00+00:00,1.0014751055,0.0023456226,trend_up,0.4
2025-09-18T21:00:00+00:00,1.0008853093,0.0029331687,trend_up,0.4
2025-09-18T22:00:00+00:00,0.9991877017,0.0046242997,trend_up,0.4
2025-09-18T23:00:00+00:00,0.9993572474,0.0044554009,trend_up,0.4
2025-09-19T00:00:00+00:00,1.0017879202,0.0020340013,trend_up,0.4
2025-09-19T01:00:00+00:00,1.0008847963,0.0029336797,trend_up,0.4
2025-09-19T02:00:00+00:00,0.9996973041,0.0041166415,trend_up,0.4
2025-09-19T03:00:00+00:00,0.997677673,0.0061285675,trend_up,0.4
2025-09-19T04:00:00+00:00,0.9984707769,0.0053384895,trend_up,0.4
2025-09-19T05:00:00+00:00,0.9982307049,0.0055776455,trend_up,0.4
2025-09-19T06:00:00+00:00,0.9964408033,0.0073607185,trend_up,0.4
2025-09-19T07:00:00+00:00,0.9973501199,0.0064548711,trend_up,0.4
